,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),Mozambique,0.0,657.6,99.301,0.0,2075.0,0.0,0.0,0.0
Capacity (MW),Myanmar,150.0,2040.7,340.25625,210.0,2587.0,0.0,0.0,0.0
Capacity (MW),Namibia,120.0,0.0,203.74,6.0,332.0,0.0,0.0,0.0
Capacity (MW),Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Nepal,0.0,0.0,127.85,0.0,686.0,0.0,0.0,0.0
Capacity (MW),Netherlands,3500.0,14985.5,3915.9325179856114,11454.1,0.0,515.0,1580.0,0.0
Capacity (MW),New Caledonia,370.0,395.0,98.6,38.5,0.0,0.0,0.0,0.0
Capacity (MW),New Zealand,750.0,1423.0,119.68606060606061,1233.0,4628.0,0.0,39.0,958.0
Capacity (MW),Nicaragua,0.0,448.0,48.49589,189.0,0.0,0.0,82.0,142.0
Capacity (MW),Niger,30.0,189.0,38.9,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Nigeria,284.5,11008.0,44.518,10.0,2638.0,0.0,0.0,0.0
Capacity (MW),Norfolk Island,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0
Capacity (MW),North Korea,3250.0,0.0,0.0,0.0,3177.0,5.0,0.0,0.0
Capacity (MW),North Macedonia,824.0,418.0,188.18028797587635,73.0,446.0,0.0,0.0,0.0
Capacity (MW),Northern Mariana Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Norway,0.0,523.0,1.4,5834.4,23945.0,0.0,0.0,0.0
Capacity (MW),Oman,0.0,13625.3,1687.785,50.0,0.0,0.0,0.0,0.0
Capacity (MW),Pakistan,8298.0,19858.7,990.3118619246862,1941.0,10396.0,3530.0,202.0,0.0
Capacity (MW),Palau,0.0,0.0,13.311,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Palestine,0.0,140.0,29.75,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Panama,0.0,1440.4,503.3842671755725,336.5,901.0,0.0,0.0,0.0
Capacity (MW),Papua New Guinea,0.0,58.0,0.87,0.0,77.0,0.0,0.0,30.0
Capacity (MW),Paraguay,0.0,0.0,1.8011,0.0,210.0,0.0,0.0,0.0
Capacity (MW),Peru,0.0,7122.4,462.36199999999997,1447.9,5351.0,0.0,38.0,0.0
Capacity (MW),Philippines,12492.4,5946.8,3188.0141506024097,835.0,3282.0,0.0,229.0,1732.0
Capacity (MW),Poland,27857.0,4951.5,2127.983696969697,8645.0,2043.0,0.0,713.0,0.0
Capacity (MW),Portugal,0.0,4651.5,2502.5466379310346,5639.6,6442.0,0.0,210.0,24.0
Capacity (MW),Puerto Rico,0.0,1742.0,161.8,127.0,0.0,0.0,0.0,0.0
Capacity (MW),Qatar,0.0,12577.5,703.3,0.0,0.0,0.0,50.0,0.0
