,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),Malta,0.0,547.8,3.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Martinique,0.0,279.6,7.0,14.0,0.0,0.0,40.0,0.0
Capacity (MW),Mauritania,0.0,420.0,77.0,130.0,0.0,0.0,0.0,0.0
Capacity (MW),Mauritius,195.0,0.0,83.8,9.4,0.0,0.0,0.0,0.0
Capacity (MW),Mayotte,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mexico,5378.0,49970.1,12147.7,8238.6,11434.0,1608.0,306.0,905.0
Capacity (MW),Moldova,0.0,968.0,24.8,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mongolia,995.0,0.0,66.0,155.0,0.0,0.0,0.0,0.0
Capacity (MW),Montenegro,225.0,0.0,3.2,118.0,649.0,0.0,0.0,0.0
Capacity (MW),Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Morocco,4092.0,1901.0,740.0,1291.0,1395.0,0.0,0.0,0.0
Capacity (MW),Mozambique,0.0,657.6,100.0,0.0,2075.0,0.0,0.0,0.0
Capacity (MW),Myanmar,190.0,2040.7,190.0,0.0,2587.0,0.0,0.0,0.0
Capacity (MW),Namibia,120.0,0.0,104.0,0.0,332.0,0.0,0.0,0.0
Capacity (MW),Nepal,0.0,0.0,38.6,0.0,686.0,0.0,0.0,0.0
Capacity (MW),Netherlands,3500.0,15009.5,4130.8,10484.1,0.0,515.0,1580.0,0.0
Capacity (MW),New Caledonia,370.0,395.0,17.8,38.5,0.0,0.0,0.0,0.0
Capacity (MW),New Zealand,750.0,1423.0,0.0,956.0,4628.0,0.0,39.0,958.0
Capacity (MW),Nicaragua,0.0,448.2,18.0,189.0,0.0,0.0,82.0,142.0
Capacity (MW),Niger,0.0,189.0,36.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Nigeria,284.5,10438.0,27.1,10.0,2638.0,0.0,0.0,0.0
Capacity (MW),North Korea,3250.0,0.0,0.0,0.0,3177.0,5.0,0.0,0.0
Capacity (MW),North Macedonia,824.0,418.0,196.9,73.0,446.0,0.0,0.0,0.0
Capacity (MW),Norway,0.0,523.0,1.4,5834.4,23945.0,0.0,0.0,0.0
Capacity (MW),Oman,0.0,13250.3,1292.4,50.0,0.0,0.0,0.0,0.0
Capacity (MW),Pakistan,7638.0,19862.7,669.5,1841.0,10396.0,3530.0,202.0,0.0
Capacity (MW),Palestine,0.0,140.0,6.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Panama,306.0,770.4,521.7,336.5,901.0,0.0,0.0,0.0
Capacity (MW),Papua New Guinea,0.0,58.0,0.0,0.0,77.0,0.0,0.0,30.0
Capacity (MW),Paraguay,0.0,0.0,2.0,0.0,210.0,0.0,0.0,0.0
Capacity (MW),Peru,0.0,7233.5,998.0,838.8,5351.0,0.0,38.0,0.0
Capacity (MW),Philippines,12232.4,5946.8,2548.6,675.0,3282.0,0.0,229.0,1732.0
Capacity (MW),Poland,28457.0,3465.5,2198.1,8304.0,2043.0,0.0,713.0,0.0
Capacity (MW),Portugal,0.0,4651.5,2342.5,5633.6,6442.0,0.0,210.0,24.0
Capacity (MW),Puerto Rico,0.0,0.0,201.8,101.0,0.0,0.0,0.0,0.0
Capacity (MW),Qatar,0.0,12577.5,800.0,0.0,0.0,0.0,50.0,0.0
