Country,Type,Age Category,Capacity (MW),Capacity %
Azerbaijan,Utility-scale solar,10-19 years,0.0174,0.1996466025655736
Azerbaijan,Utility-scale solar,20-29 years,0.0,0.0
Azerbaijan,Utility-scale solar,30-39 years,0.0,0.0
Azerbaijan,Utility-scale solar,40-49 years,0.0,0.0
Azerbaijan,Utility-scale solar,50+ years,0.0,0.0
Azerbaijan,Wind,0-9 years,0.05,0.5736971338091196
Azerbaijan,Wind,10-19 years,0.0,0.0
Azerbaijan,Wind,20-29 years,0.0,0.0
Azerbaijan,Wind,30-39 years,0.0,0.0
Azerbaijan,Wind,40-49 years,0.0,0.0
Azerbaijan,Wind,50+ years,0.0,0.0
Azerbaijan,Hydropower,0-9 years,0.182,2.0882575670651953
Azerbaijan,Hydropower,10-19 years,0.0,0.0
Azerbaijan,Hydropower,20-29 years,0.15,1.7210914014273586
Azerbaijan,Hydropower,30-39 years,0.0,0.0
Azerbaijan,Hydropower,40-49 years,0.43,4.933795350758428
Azerbaijan,Hydropower,50+ years,0.424,4.864951694701333
Azerbaijan,Bioenergy,0-9 years,0.0,0.0
Azerbaijan,Bioenergy,10-19 years,0.037,0.42453587901874845
Azerbaijan,Bioenergy,20-29 years,0.0,0.0
Azerbaijan,Bioenergy,30-39 years,0.0,0.0
Azerbaijan,Bioenergy,40-49 years,0.0,0.0
Azerbaijan,Bioenergy,50+ years,0.0,0.0
BRICS,Coal,0-9 years,548.5318000000001,13.09963299509761
BRICS,Coal,10-19 years,750.8855,17.93209522463486
BRICS,Coal,20-29 years,190.9129,4.559241458799235
BRICS,Coal,30-39 years,83.4632,1.99320675409599
BRICS,Coal,40-49 years,35.784699999999994,0.854583885272776
BRICS,Coal,50+ years,21.6771,0.5176765584019565
BRICS,Oil and gas,0-9 years,212.10523999999998,5.065341335428679
BRICS,Oil and gas,10-19 years,165.26548,3.946748638380936
BRICS,Oil and gas,20-29 years,60.954,1.4556585955147534
BRICS,Oil and gas,30-39 years,42.1779,1.0072615853883538
BRICS,Oil and gas,40-49 years,33.5698,0.801689272561459
BRICS,Oil and gas,50+ years,30.738400000000002,0.7340718602941677
BRICS,Utility-scale solar,0-9 years,631.4427526720322,15.079651384692392
BRICS,Utility-scale solar,10-19 years,36.921988402388095,0.8817437704077218
BRICS,Utility-scale solar,20-29 years,0.0,0.0
BRICS,Utility-scale solar,30-39 years,0.0,0.0
BRICS,Utility-scale solar,40-49 years,0.0,0.0
BRICS,Utility-scale solar,50+ years,0.0,0.0
BRICS,Wind,0-9 years,451.4527,10.781261331878849
BRICS,Wind,10-19 years,135.9821,3.2474244955400264
BRICS,Wind,20-29 years,0.718,0.01714674790136157
BRICS,Wind,30-39 years,0.025,0.0005970316121643999
BRICS,Wind,40-49 years,0.0,0.0
BRICS,Wind,50+ years,0.0,0.0
BRICS,Hydropower,0-9 years,136.158,3.2516252099632146
BRICS,Hydropower,10-19 years,209.339,4.999280026355333
BRICS,Hydropower,20-29 years,65.191,1.5568435131443759
BRICS,Hydropower,30-39 years,38.379,0.9165390497303003
BRICS,Hydropower,40-49 years,64.769,1.5467656195310409
BRICS,Hydropower,50+ years,72.759,1.737576922778783
BRICS,Nuclear,0-9 years,49.898,1.1916273353511693
BRICS,Nuclear,10-19 years,25.834,0.6169485867462043
BRICS,Nuclear,20-29 years,9.547,0.22799443205334105
BRICS,Nuclear,30-39 years,10.44,0.2493204012398534
BRICS,Nuclear,40-49 years,11.284,0.26947618846652355
BRICS,Nuclear,50+ years,1.309,0.031260575212927987
BRICS,Bioenergy,0-9 years,36.426300000000005,0.8699061045673634
BRICS,Bioenergy,10-19 years,15.4024,0.36782878812803815
BRICS,Bioenergy,20-29 years,3.3775999999999997,0.0806613589298591
BRICS,Bioenergy,30-39 years,1.0205,0.024370830408550804
BRICS,Bioenergy,40-49 years,0.706,0.016860172727522656
BRICS,Bioenergy,50+ years,0.5287000000000001,0.012626024534052732
BRICS,Geothermal,0-9 years,1.013,0.024191720924901485
BRICS,Geothermal,10-19 years,0.57845,0.01381411744225989
BRICS,Geothermal,20-29 years,0.50945,0.012166310192686141
BRICS,Geothermal,30-39 years,0.275,0.0065673477338084
BRICS,Geothermal,40-49 years,0.03,0.00071643793459728
BRICS,Geothermal,50+ years,0.0,0.0
Bahamas,Oil and gas,0-9 years,0.1943,77.7822257806245
Bahamas,Oil and gas,10-19 years,0.052,20.816653322658127
Bahamas,Oil and gas,20-29 years,0.0,0.0
Bahamas,Oil and gas,30-39 years,0.0,0.0
Bahamas,Oil and gas,40-49 years,0.0,0.0
Bahamas,Oil and gas,50+ years,0.0,0.0
Bahamas,Utility-scale solar,0-9 years,0.0035,1.4011208967173738
Bahamas,Utility-scale solar,10-19 years,0.0,0.0
Bahamas,Utility-scale solar,20-29 years,0.0,0.0
Bahamas,Utility-scale solar,30-39 years,0.0,0.0
Bahamas,Utility-scale solar,40-49 years,0.0,0.0
Bahamas,Utility-scale solar,50+ years,0.0,0.0
Bahrain,Oil and gas,0-9 years,3.9728999999999997,42.749233335126696
Bahrain,Oil and gas,10-19 years,2.168,23.328132565771774
Bahrain,Oil and gas,20-29 years,1.647,17.722063808037877
Bahrain,Oil and gas,30-39 years,0.794,8.54360574595147
Bahrain,Oil and gas,40-49 years,0.7,7.532146123634799
Bahrain,Oil and gas,50+ years,0.0,0.0
Bahrain,Utility-scale solar,0-9 years,0.0075,0.08070156561037284
Bahrain,Utility-scale solar,10-19 years,0.0040999999999999995,0.04411685586700381
Bahrain,Utility-scale solar,20-29 years,0.0,0.0
Bahrain,Utility-scale solar,30-39 years,0.0,0.0
Bahrain,Utility-scale solar,40-49 years,0.0,0.0
Bahrain,Utility-scale solar,50+ years,0.0,0.0
Bangladesh,Coal,0-9 years,7.105,24.39848139717425
Bangladesh,Coal,10-19 years,0.125,0.42924844118885036
Bangladesh,Coal,20-29 years,0.0,0.0
Bangladesh,Coal,30-39 years,0.0,0.0
Bangladesh,Coal,40-49 years,0.0,0.0
Bangladesh,Coal,50+ years,0.0,0.0
Bangladesh,Oil and gas,0-9 years,13.0209,44.713608223007206
Bangladesh,Oil and gas,10-19 years,5.3346,18.31894987492833
Bangladesh,Oil and gas,20-29 years,1.554,5.336416620859787
Bangladesh,Oil and gas,30-39 years,0.607,2.0844304304130574
Bangladesh,Oil and gas,40-49 years,0.0,0.0
Bangladesh,Oil and gas,50+ years,0.0,0.0
Bangladesh,Utility-scale solar,0-9 years,1.042164865735768,3.5787811526309268
Bangladesh,Utility-scale solar,10-19 years,0.0,0.0
Bangladesh,Utility-scale solar,20-29 years,0.0,0.0
Bangladesh,Utility-scale solar,30-39 years,0.0,0.0
Bangladesh,Utility-scale solar,40-49 years,0.0,0.0
Bangladesh,Utility-scale solar,50+ years,0.0,0.0
Bangladesh,Wind,0-9 years,0.06,0.20603925177064816
Bangladesh,Wind,10-19 years,0.0,0.0
Bangladesh,Wind,20-29 years,0.0,0.0
Bangladesh,Wind,30-39 years,0.0,0.0
Bangladesh,Wind,40-49 years,0.0,0.0
Bangladesh,Wind,50+ years,0.0,0.0
Bangladesh,Hydropower,0-9 years,0.0,0.0
Bangladesh,Hydropower,10-19 years,0.0,0.0
Bangladesh,Hydropower,20-29 years,0.0,0.0
Bangladesh,Hydropower,30-39 years,0.0,0.0
Bangladesh,Hydropower,40-49 years,0.0,0.0
Bangladesh,Hydropower,50+ years,0.23,0.7898171317874845
Bangladesh,Bioenergy,0-9 years,0.042,0.14422747623945373
Bangladesh,Bioenergy,10-19 years,0.0,0.0
Bangladesh,Bioenergy,20-29 years,0.0,0.0
Bangladesh,Bioenergy,30-39 years,0.0,0.0
Bangladesh,Bioenergy,40-49 years,0.0,0.0
Bangladesh,Bioenergy,50+ years,0.0,0.0
Barbados,Oil and gas,0-9 years,0.0,0.0
Barbados,Oil and gas,10-19 years,0.0,0.0
Barbados,Oil and gas,20-29 years,0.133,63.883724860571235
Barbados,Oil and gas,30-39 years,0.0,0.0
Barbados,Oil and gas,40-49 years,0.05,24.016437917507982
Barbados,Oil and gas,50+ years,0.0,0.0
Barbados,Utility-scale solar,0-9 years,0.02419074074074074,11.61950846357062
Barbados,Utility-scale solar,10-19 years,0.0,0.0
Barbados,Utility-scale solar,20-29 years,0.0,0.0
Barbados,Utility-scale solar,30-39 years,0.0,0.0
Barbados,Utility-scale solar,40-49 years,0.0,0.0
Barbados,Utility-scale solar,50+ years,0.0,0.0
Barbados,Wind,0-9 years,0.001,0.48032875835015965
Barbados,Wind,10-19 years,0.0,0.0
Barbados,Wind,20-29 years,0.0,0.0
Barbados,Wind,30-39 years,0.0,0.0
Barbados,Wind,40-49 years,0.0,0.0
Barbados,Wind,50+ years,0.0,0.0
Belarus,Oil and gas,0-9 years,1.1812,9.993340994615414
Belarus,Oil and gas,10-19 years,2.046,17.30983379189226
Belarus,Oil and gas,20-29 years,2.072,17.52980235425257
Belarus,Oil and gas,30-39 years,0.664,5.617658669509511
Belarus,Oil and gas,40-49 years,1.3,10.99842811801561
Belarus,Oil and gas,50+ years,1.91,16.159229004161396
Belarus,Utility-scale solar,0-9 years,0.2535310128755365,2.144955862153291
Belarus,Utility-scale solar,10-19 years,0.0051398454935622315,0.04348478553742359
Belarus,Utility-scale solar,20-29 years,0.0,0.0
Belarus,Utility-scale solar,30-39 years,0.0,0.0
Belarus,Utility-scale solar,40-49 years,0.0,0.0
Belarus,Utility-scale solar,50+ years,0.0,0.0
Belarus,Nuclear,0-9 years,2.388,20.20326641986252
Belarus,Nuclear,10-19 years,0.0,0.0
Belarus,Nuclear,20-29 years,0.0,0.0
Belarus,Nuclear,30-39 years,0.0,0.0
Belarus,Nuclear,40-49 years,0.0,0.0
Belarus,Nuclear,50+ years,0.0,0.0
Belgium,Oil and gas,0-9 years,0.8987999999999999,5.547919602799173
Belgium,Oil and gas,10-19 years,2.224,13.727829546757189
Belgium,Oil and gas,20-29 years,1.7822,11.000781393089328
Belgium,Oil and gas,30-39 years,0.823,5.080037642527503
Belgium,Oil and gas,40-49 years,0.05,0.30862926139292246
Belgium,Oil and gas,50+ years,0.0,0.0
