,Country,Status,Non-fossil,Fossil,Non-fossil share,Fossil share
1,India,Construction,57044.85105123675,27570.0,0.6741706726718036,0.32582932732819636
2,India,Operating,164654.33887279153,273284.4,0.37597573417824276,0.6240242658217573
0,Indonesia,Announced,20292.690345821327,12470.0,0.6193841266277307,0.3806158733722693
3,Indonesia,Pre-construction,16575.628962536022,2805.0,0.8552678550617608,0.1447321449382392
1,Indonesia,Construction,4169.75,9024.0,0.31603979156797724,0.6839602084320228
2,Indonesia,Operating,11495.17,82660.6,0.12208672925727228,0.8779132707427277
0,Iran,Announced,500.0,0.0,1.0,0.0
3,Iran,Pre-construction,6057.0,5559.0,0.5214359504132231,0.47856404958677684
1,Iran,Construction,2511.6585774058576,12357.0,0.1689230110658757,0.8310769889341242
2,Iran,Operating,14221.23,75283.1,0.15888873756163527,0.8411112624383648
0,Iraq,Announced,461.0,944.0,0.3281138790035587,0.6718861209964413
3,Iraq,Pre-construction,5808.575,27735.4,0.17316298977685263,0.8268370102231475
1,Iraq,Construction,541.6875,10249.0,0.05019953547908787,0.9498004645209122
2,Iraq,Operating,3358.45,44670.3,0.06992582567732868,0.9300741743226714
0,Ireland,Announced,31967.16725,1626.0,0.9515972998943706,0.048402700105629366
3,Ireland,Pre-construction,39571.827591836736,3921.1,0.9098451123640627,0.09015488763593735
1,Ireland,Construction,764.6006938775511,779.0,0.49533580602173816,0.5046641939782618
2,Ireland,Operating,5733.202622448979,5090.4,0.5296944855087231,0.4703055144912767
0,Israel,Announced,646.78,0.0,1.0,0.0
3,Israel,Pre-construction,408.326,3575.0,0.1025088079660063,0.8974911920339937
1,Israel,Construction,174.606,4241.5,0.03953845310778319,0.9604615468922169
2,Israel,Operating,2941.6666,18063.0,0.14004824051813325,0.8599517594818668
0,Italy,Announced,18215.910435008667,1385.0,0.9293400169042001,0.07065998309579989
3,Italy,Pre-construction,31775.653282495667,4811.0,0.868503960642343,0.13149603935765697
1,Italy,Construction,812.0517487001732,968.0,0.45619558492788115,0.5438044150721189
2,Italy,Operating,31874.82129982669,53975.0,0.37128582001941846,0.6287141799805814
0,Jamaica,Announced,0.0,0.0,0.0,0.0
3,Jamaica,Pre-construction,155.99878,0.0,1.0,0.0
1,Jamaica,Construction,0.0,0.0,0.0,0.0
2,Jamaica,Operating,164.24,713.8,0.18705298164092754,0.8129470183590725
0,Japan,Announced,36090.34881355932,9175.5,0.7972975158868225,0.20270248411317743
3,Japan,Pre-construction,11498.988079096045,7100.0,0.6182588015108251,0.3817411984891748
1,Japan,Construction,9834.398983050847,1865.2,0.8405757323219277,0.15942426767807225
2,Japan,Operating,92728.22066101695,150229.2,0.38166449252190054,0.6183355074780995
0,Jordan,Announced,1000.0,0.0,1.0,0.0
3,Jordan,Pre-construction,928.325,600.0,0.6074133446747256,0.39258665532527437
1,Jordan,Construction,0.0,0.0,0.0,0.0
2,Jordan,Operating,2132.01,4522.8,0.3203712803220528,0.6796287196779472
0,Kazakhstan,Announced,52494.67741935483,1449.0,0.9731386499897743,0.026861350010225722
3,Kazakhstan,Pre-construction,205.0,9951.0,0.020185112248916896,0.979814887751083
1,Kazakhstan,Construction,0.0,2993.0,0.0,1.0
2,Kazakhstan,Operating,4834.356129032258,17958.0,0.21210427310208582,0.7878957268979142
0,Kenya,Announced,3262.603149606299,0.0,1.0,0.0
3,Kenya,Pre-construction,6746.618110236221,0.0,1.0,0.0
1,Kenya,Construction,608.9784776902887,0.0,1.0,0.0
2,Kenya,Operating,2357.0284776902886,565.1,0.8066135680500035,0.19338643194999655
0,Kiribati,Announced,8.425353982300885,0.0,1.0,0.0
3,Kiribati,Pre-construction,0.0,0.0,0.0,0.0
1,Kiribati,Construction,7.021128318584071,0.0,1.0,0.0
2,Kiribati,Operating,1.8,0.0,1.0,0.0
0,Kosovo,Announced,232.0,500.0,0.31693989071038253,0.6830601092896175
3,Kosovo,Pre-construction,113.9742630983792,0.0,1.0,0.0
1,Kosovo,Construction,130.5,0.0,1.0,0.0
2,Kosovo,Operating,150.5,1290.0,0.1044776119402985,0.8955223880597015
0,Kuwait,Announced,3200.0,0.0,1.0,0.0
3,Kuwait,Pre-construction,1381.225,10800.0,0.11338966319068894,0.886610336809311
1,Kuwait,Construction,0.0,7450.0,0.0,1.0
2,Kuwait,Operating,78.7,19509.5,0.0040177249568617845,0.9959822750431382
0,Kyrgyzstan,Announced,3304.516129032258,1760.0,0.6524840764331211,0.347515923566879
3,Kyrgyzstan,Pre-construction,4511.58064516129,1628.0,0.7348353097563667,0.26516469024363337
1,Kyrgyzstan,Construction,1960.0,340.0,0.8521739130434782,0.14782608695652175
2,Kyrgyzstan,Operating,3135.0,813.0,0.7940729483282675,0.20592705167173253
0,Laos,Announced,3420.677233429395,1600.0,0.6813178928638054,0.3186821071361947
3,Laos,Pre-construction,12498.612680115273,1500.0,0.8928465245609147,0.10715347543908531
1,Laos,Construction,5376.0,960.0,0.8484848484848485,0.15151515151515152
2,Laos,Operating,9812.7,1878.0,0.8393594908773641,0.16064050912263594
0,Latvia,Announced,2684.006581632653,0.0,1.0,0.0
3,Latvia,Pre-construction,261.3298469387755,0.0,1.0,0.0
1,Latvia,Construction,335.14811224489796,0.0,1.0,0.0
2,Latvia,Operating,1703.0,1087.0,0.6103942652329749,0.3896057347670251
0,Lebanon,Announced,0.0,0.0,0.0,0.0
3,Lebanon,Pre-construction,368.9125,0.0,1.0,0.0
1,Lebanon,Construction,100.0,0.0,1.0,0.0
2,Lebanon,Operating,156.0,2684.0,0.054929577464788736,0.9450704225352112
0,Lesotho,Announced,90.44619422572178,0.0,1.0,0.0
3,Lesotho,Pre-construction,132.88923884514435,0.0,1.0,0.0
1,Lesotho,Construction,0.0,0.0,0.0,0.0
2,Lesotho,Operating,26.1,0.0,1.0,0.0
0,Liberia,Announced,66.45616797900263,0.0,1.0,0.0
3,Liberia,Pre-construction,120.0,270.0,0.3076923076923077,0.6923076923076923
1,Liberia,Construction,17.4,0.0,1.0,0.0
2,Liberia,Operating,88.0,0.0,1.0,0.0
0,Libya,Announced,28592.833333333336,2355.0,0.9239042043869522,0.07609579561304776
3,Libya,Pre-construction,46.02777777777778,1160.0,0.03816477416680102,0.9618352258331989
1,Libya,Construction,0.0,6460.0,0.0,1.0
2,Libya,Operating,460.27777777777777,14267.0,0.03125341863737358,0.9687465813626265
0,Lithuania,Announced,2258.0845918367345,0.0,1.0,0.0
3,Lithuania,Pre-construction,1164.6602551020408,0.0,1.0,0.0
1,Lithuania,Construction,248.0,0.0,1.0,0.0
2,Lithuania,Operating,2336.7712755102043,1148.0,0.6705666142085834,0.32943338579141657
0,Luxembourg,Announced,24.0,0.0,1.0,0.0
