,Country/Area,coal,oil/gas,solar,wind,hydropower,nuclear,bioenergy,geothermal
Capacity (MW),Kazakhstan,195.0,3253.0,50.0,48.0,0.0,0.0,0.0,0.0
Capacity (MW),Kenya,0.0,0.0,101.5,300.0,0.0,0.0,0.0,133.0
Capacity (MW),Kosovo,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Kuwait,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Kyrgyzstan,0.0,0.0,100.0,0.0,1860.0,0.0,0.0,0.0
Capacity (MW),Laos,660.0,0.0,64.0,850.0,4122.0,0.0,0.0,0.0
Capacity (MW),Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Lebanon,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Capacity (MW),Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Libya,0.0,7060.0,100.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Lithuania,0.0,0.0,22.0,399.0,0.0,0.0,0.0,0.0
Capacity (MW),Luxembourg,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0
Capacity (MW),Macao,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
Capacity (MW),Madagascar,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Capacity (MW),Malawi,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Malaysia,0.0,1200.0,150.0,0.0,1585.0,0.0,0.0,0.0
Capacity (MW),Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Martinique,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Capacity (MW),Mauritania,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mauritius,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mayotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mexico,0.0,7418.8,3164.5,720.0,0.0,0.0,0.0,0.0
Capacity (MW),Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Mongolia,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Morocco,0.0,457.0,1321.0,698.0,335.0,0.0,0.0,0.0
Capacity (MW),Mozambique,0.0,500.0,11.3,60.0,0.0,0.0,0.0,0.0
Capacity (MW),Myanmar,0.0,200.0,80.0,0.0,543.0,0.0,0.0,0.0
Capacity (MW),Namibia,0.0,0.0,105.0,50.0,0.0,0.0,0.0,0.0
Capacity (MW),Nepal,0.0,0.0,0.0,0.0,3380.0,0.0,0.0,0.0
Capacity (MW),Netherlands,0.0,0.0,654.8,504.0,0.0,0.0,0.0,0.0
Capacity (MW),New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),New Zealand,0.0,0.0,94.0,219.0,0.0,0.0,0.0,202.0
Capacity (MW),Nicaragua,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
Capacity (MW),Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Nigeria,600.0,2302.7,360.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),North Korea,0.0,0.0,0.0,0.0,550.0,30.0,0.0,0.0
Capacity (MW),North Macedonia,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Norway,0.0,0.0,0.0,372.4,0.0,0.0,0.0,0.0
Capacity (MW),Oman,0.0,132.0,1853.0,300.0,0.0,0.0,0.0,0.0
Capacity (MW),Pakistan,731.5,0.0,200.0,150.0,10322.0,0.0,0.0,0.0
Capacity (MW),Palestine,0.0,450.0,35.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Panama,0.0,0.0,137.6,44.0,0.0,0.0,0.0,0.0
Capacity (MW),Papua New Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Peru,0.0,0.0,1200.9,437.0,472.0,0.0,0.0,0.0
Capacity (MW),Philippines,585.0,2113.7,3144.0,358.0,0.0,0.0,0.0,0.0
Capacity (MW),Poland,100.0,2692.0,424.0,1949.0,750.0,0.0,0.0,0.0
Capacity (MW),Portugal,0.0,0.0,1167.4,31.0,160.0,0.0,0.0,0.0
Capacity (MW),Puerto Rico,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Qatar,0.0,0.0,875.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Republic of the Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Romania,0.0,868.0,251.0,48.0,0.0,0.0,0.0,0.0
Capacity (MW),Russia,565.0,6219.4,0.0,0.0,840.0,4212.0,265.0,0.0
Capacity (MW),Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),Réunion,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Capacity (MW),Saudi Arabia,0.0,9660.0,6752.0,2000.0,0.0,0.0,0.0,0.0
Capacity (MW),Senegal,0.0,300.0,0.0,0.0,128.0,0.0,0.0,0.0
