Country,Status,Non-fossil (GW),Fossil (GW),Non-fossil share (%),Fossil share (%)
French Polynesia,Operating,0.016885961685823757,0.0,100.0,0.0
Gabon,Announced,0.0,0.0,0.0,0.0
Gabon,Pre-construction,0.85303,0.0,100.0,0.0
Gabon,Construction,0.035,0.125,21.875000000000004,78.125
Gabon,Operating,0.33357,0.496,40.209988307195296,59.79001169280471
Georgia,Announced,0.9891592857142857,0.0,100.0,0.0
Georgia,Pre-construction,0.91,0.4,69.46564885496184,30.53435114503817
Georgia,Construction,0.787,0.0,100.0,0.0
Georgia,Operating,3.0086,1.1682000000000001,72.03122007278299,27.968779927217014
Germany,Announced,7.973234542199489,8.315,48.95088243936116,51.049117560638834
Germany,Pre-construction,16.603884491048593,7.462404,68.99229391862552,31.007706081374476
Germany,Construction,2.45847,1.6752,59.47426862811981,40.52573137188019
Germany,Operating,93.43921160102302,63.2599,59.62970092576645,40.37029907423356
Ghana,Announced,2.885923834196891,0.3,90.58357903036234,9.416420969637654
Ghana,Pre-construction,3.6436937823834197,0.3,92.39291850345715,7.607081496542851
Ghana,Construction,0.27080051813471506,0.0,100.0,0.0
Ghana,Operating,1.9310500103626944,3.979,32.6740045680965,67.3259954319035
Gibraltar,Announced,0.0,0.0,0.0,0.0
Gibraltar,Pre-construction,0.0,0.25,0.0,100.0
Gibraltar,Construction,0.0,0.0,0.0,0.0
Gibraltar,Operating,0.0,0.0,0.0,0.0
Greece,Announced,20.961129,0.557,97.41148498552083,2.588515014479187
Greece,Pre-construction,66.681969,2.721,96.07941844678143,3.9205815532185664
Greece,Construction,7.308435,0.9165,88.85705479739353,11.142945202606464
Greece,Operating,13.031451007968128,9.0626,58.98171866837997,41.018281331620045
Guadeloupe,Announced,0.0,0.0,0.0,0.0
Guadeloupe,Pre-construction,0.01,0.0,100.0,0.0
Guadeloupe,Construction,0.064,0.0,100.0,0.0
Guadeloupe,Operating,0.1306,0.2112,38.20947922761849,61.790520772381505
Guatemala,Announced,0.0,0.0,0.0,0.0
Guatemala,Pre-construction,0.11182844444444444,0.0,100.0,0.0
Guatemala,Construction,0.22839888888888887,0.0,100.0,0.0
Guatemala,Operating,2.3151494814814813,0.795,74.43852764204402,25.561472357955978
Guinea,Announced,0.6052864248704662,1.8,25.164837693002124,74.83516230699789
Guinea,Pre-construction,0.586,0.0,100.0,0.0
Guinea,Construction,0.3,0.0,100.0,0.0
Guinea,Operating,0.815,0.104,88.68335146898804,11.316648531011971
Guinea-Bissau,Announced,0.0703307512953368,0.0,100.0,0.0
Guinea-Bissau,Pre-construction,0.0,0.0,0.0,0.0
Guinea-Bissau,Construction,0.0,0.0,0.0,0.0
Guinea-Bissau,Operating,0.009026683937823833,0.0,100.0,0.0
Guyana,Announced,0.017955185185185185,0.3,5.647080476051249,94.35291952394876
Guyana,Pre-construction,0.2131008888888889,0.3,41.53196642289107,58.46803357710895
Guyana,Construction,0.00696,0.3,2.2673964034401877,97.73260359655981
Guyana,Operating,0.03500768518518518,0.072,32.71511305435833,67.28488694564166
Haiti,Announced,0.032,0.0,100.0,0.0
Haiti,Pre-construction,0.0,0.0,0.0,0.0
Haiti,Construction,0.011508888888888888,0.0,100.0,0.0
Haiti,Operating,0.0,0.0,0.0,0.0
Honduras,Announced,0.3327987037037037,0.0,100.0,0.0
Honduras,Pre-construction,0.828,0.0,100.0,0.0
Honduras,Construction,0.2,0.07,74.07407407407408,25.925925925925924
Honduras,Operating,1.7727970740740742,1.0997999999999999,61.71408757858953,38.28591242141049
Hong Kong,Announced,0.4,0.0,100.0,0.0
Hong Kong,Pre-construction,0.0,0.13,0.0,100.0
Hong Kong,Construction,0.18,0.77,18.947368421052634,81.05263157894737
Hong Kong,Operating,0.0009170759101471727,10.2055,0.008985287425806997,99.9910147125742
Hungary,Announced,0.29012,0.0,100.0,0.0
Hungary,Pre-construction,0.13137000000000001,0.0,100.0,0.0
Hungary,Construction,2.6477236051502144,1.54,63.22584427238579,36.774155727614215
Hungary,Operating,6.447665051502145,3.9085,62.25919555585803,37.74080444414198
Iceland,Announced,0.35,0.0,100.0,0.0
Iceland,Pre-construction,0.2632,0.0,100.0,0.0
Iceland,Construction,0.138,0.0,100.0,0.0
Iceland,Operating,2.7674000000000003,0.0,100.0,0.0
India,Announced,187.1808972909091,42.74,81.4109980851706,18.589001914829385
India,Pre-construction,78.78170105227272,55.4,58.71270108699993,41.28729891300007
India,Construction,156.8324542272727,40.53,79.46417916280689,20.53582083719312
India,Operating,196.5345667909091,282.6344,41.01571270509035,58.98428729490964
