Country,Type,Age Category,Capacity (GW),Capacity %
G7,Utility-scale solar,40-49 years,0.005,0.00019059475644787522
G7,Utility-scale solar,50+ years,0.0,0.0
G7,Wind,0-9 years,201.65279999999998,7.686793260606419
G7,Wind,10-19 years,161.4232,6.15328309780733
G7,Wind,20-29 years,35.519400000000005,1.3539622784349319
G7,Wind,30-39 years,0.8211,0.031299470903870065
G7,Wind,40-49 years,0.2112,0.00805072251235825
G7,Wind,50+ years,0.023,0.0008767358796602261
G7,Hydropower,0-9 years,6.898,0.2629445259954886
G7,Hydropower,10-19 years,12.367,0.47141707059817456
G7,Hydropower,20-29 years,8.275,0.3154343219212335
G7,Hydropower,30-39 years,30.651,1.1683839759767647
G7,Hydropower,40-49 years,55.517,2.116249818743338
G7,Hydropower,50+ years,227.2495,8.662512621080284
G7,Nuclear,0-9 years,7.986,0.3044179449985463
G7,Nuclear,10-19 years,1.923,0.0733027433298528
G7,Nuclear,20-29 years,10.586,0.4035272183514414
G7,Nuclear,30-39 years,65.934,2.5133349343268407
G7,Nuclear,40-49 years,117.117,4.464377218181161
G7,Nuclear,50+ years,35.74,1.362371319089412
G7,Bioenergy,0-9 years,7.8383959999999995,0.2987914353123999
G7,Bioenergy,10-19 years,8.837479,0.33687543152364235
G7,Bioenergy,20-29 years,5.227645000000001,0.19927234511419056
G7,Bioenergy,30-39 years,6.64179,0.25317806948558663
G7,Bioenergy,40-49 years,4.8019,0.1830433921974104
G7,Bioenergy,50+ years,5.6975,0.2171827249723538
G7,Geothermal,0-9 years,0.49360000000000004,0.018815514356534245
G7,Geothermal,10-19 years,0.694,0.02645455219496508
G7,Geothermal,20-29 years,0.5812999999999999,0.02215854638462997
G7,Geothermal,30-39 years,1.4122999999999999,0.05383539490626683
G7,Geothermal,40-49 years,1.635,0.0623244853584552
G7,Geothermal,50+ years,0.3782,0.014416587377717283
G20,Coal,0-9 years,549.3068000000001,7.30471325643106
G20,Coal,10-19 years,805.8036,10.71562237896904
G20,Coal,20-29 years,303.2658,4.032845960549133
G20,Coal,30-39 years,141.2276,1.8780527055080023
G20,Coal,40-49 years,158.756,2.1111463716414383
G20,Coal,50+ years,118.9001,1.581140332981457
G20,Oil and gas,0-9 years,393.71759,5.235679039405826
G20,Oil and gas,10-19 years,464.95504,6.1829987255436
G20,Oil and gas,20-29 years,478.2013,6.359148248943152
G20,Oil and gas,30-39 years,134.1952,1.7845354479307691
G20,Oil and gas,40-49 years,86.3519,1.1483125070507214
G20,Oil and gas,50+ years,131.14459999999997,1.7439683945826785
G20,Utility-scale solar,0-9 years,913.4106584883067,12.146587199766975
G20,Utility-scale solar,10-19 years,129.05494257509474,1.7161800105810519
G20,Utility-scale solar,20-29 years,0.38429199999999997,0.005110337004275943
G20,Utility-scale solar,30-39 years,0.0,0.0
G20,Utility-scale solar,40-49 years,0.005,6.649028608813016e-05
