Country,Status,Non-fossil (GW),Fossil (GW),Non-fossil share (%),Fossil share (%)
Canada,Operating,119.41303659793815,32.5073,78.60240391249818,21.397596087501814
Cayman Islands,Announced,0.0,0.0,0.0,0.0
Cayman Islands,Pre-construction,0.0,0.0,0.0,0.0
Cayman Islands,Construction,0.0,0.0,0.0,0.0
Cayman Islands,Operating,0.004900000000000001,0.068,6.721536351165981,93.27846364883402
Central African Republic,Announced,0.01305,0.0,100.0,0.0
Central African Republic,Pre-construction,0.195,0.0,100.0,0.0
Central African Republic,Construction,0.04513341968911917,0.0,100.0,0.0
Central African Republic,Operating,0.042511373056994824,0.05,45.95259118119912,54.04740881880088
Chad,Announced,0.3910673575129533,0.09,81.29160114598368,18.70839885401633
Chad,Pre-construction,0.0,0.0,0.0,0.0
Chad,Construction,0.056100000000000004,0.0,100.0,0.0
Chad,Operating,0.11192681347150259,0.06,65.1014296208397,34.89857037916031
Chile,Announced,17.994247786666666,0.355,98.06531578772424,1.9346842122757637
Chile,Pre-construction,39.954254426666665,0.1998,99.50241637400552,0.49758362599446754
Chile,Construction,3.1603860333333333,0.581,84.47099564643517,15.529004353564835
Chile,Operating,26.850346233333333,10.106200000000001,72.65382988931847,27.346170110681527
China,Announced,713.2869387962662,261.09860000000003,73.20376898013538,26.796231019864614
China,Pre-construction,754.5081990517451,178.33960000000002,80.88224036318839,19.11775963681161
China,Construction,741.3013611872971,227.75220000000002,76.49746008662771,23.502539913372285
China,Operating,1590.7694211298701,1453.7971,52.24945522095275,47.75054477904726
Colombia,Announced,11.300924074074073,2.951,79.29402384785212,20.70597615214788
Colombia,Pre-construction,24.561591944444444,0.282,98.86489843887868,1.1351015611213222
Colombia,Construction,2.224868537037037,0.0,100.0,0.0
Colombia,Operating,15.014198648148147,5.972,71.54320274897914,28.45679725102087
Cook Islands,Announced,0.0,0.0,0.0,0.0
Cook Islands,Pre-construction,0.0,0.0,0.0,0.0
Cook Islands,Construction,0.0,0.0,0.0,0.0
Cook Islands,Operating,0.0010298697318007663,0.0,100.0,0.0
Costa Rica,Announced,0.24938703703703705,0.0,100.0,0.0
Costa Rica,Pre-construction,0.135,0.0,100.0,0.0
Costa Rica,Construction,0.055,0.0,100.0,0.0
Costa Rica,Operating,2.5319000000000003,0.2024,92.59773982372089,7.40226017627912
Croatia,Announced,1.6914472379572618,0.0,100.0,0.0
Croatia,Pre-construction,2.1689720101412533,0.0,100.0,0.0
Croatia,Construction,0.20506742122419414,0.0,100.0,0.0
Croatia,Operating,3.3617,1.6378,67.24072407240725,32.75927592759276
Cuba,Announced,1.3646889814814815,0.2,87.21790704944854,12.782092950551469
Cuba,Pre-construction,0.17934685185185184,0.0,100.0,0.0
Cuba,Construction,0.1961070740740741,0.0,100.0,0.0
Cuba,Operating,0.8901977222222222,1.433,38.317776989326426,61.68222301067359
Curaçao,Announced,0.0,0.0,0.0,0.0
Curaçao,Pre-construction,0.0,0.0,0.0,0.0
Curaçao,Construction,0.0,0.0,0.0,0.0
Curaçao,Operating,0.0695,0.0,100.0,0.0
Cyprus,Announced,0.0,0.0,0.0,0.0
Cyprus,Pre-construction,0.14964,0.185,44.716710494860145,55.283289505139855
Cyprus,Construction,0.016,0.42,3.669724770642202,96.3302752293578
Cyprus,Operating,0.5519,1.853,22.94897916753295,77.05102083246705
Czech Republic,Announced,3.78,1.9,66.54929577464789,33.45070422535211
Czech Republic,Pre-construction,2.412,1.235,66.13655058952563,33.86344941047436
Czech Republic,Construction,0.1844,0.109,62.84935241990457,37.15064758009544
Czech Republic,Operating,9.00361,8.7326,50.76400200493792,49.23599799506208
Côte d'Ivoire,Announced,0.6991655699481866,0.0,100.0,0.0
Côte d'Ivoire,Pre-construction,0.48951999999999996,0.372,56.82050329649921,43.17949670350079
Côte d'Ivoire,Construction,0.24767341968911916,0.0,100.0,0.0
Côte d'Ivoire,Operating,1.0450599999999999,1.669,38.50541255535986,61.49458744464014
DR Congo,Announced,1.568447279792746,0.24,86.72894683291487,13.271053167085123
DR Congo,Pre-construction,5.83871,0.0,100.0,0.0
DR Congo,Construction,0.3722936787564767,0.0,100.0,0.0
DR Congo,Operating,2.917842694300518,0.0,100.0,0.0
Denmark,Announced,4.055343024691358,0.0,100.0,0.0
Denmark,Pre-construction,24.402806567901237,0.0,100.0,0.0
Denmark,Construction,0.0,0.0,0.0,0.0
Denmark,Operating,9.971896901234567,1.6142,86.06778439917935,13.93221560082065
Djibouti,Announced,0.09756670984455958,0.05,66.11701917548487,33.88298082451513
Djibouti,Pre-construction,9.112783937823835,0.0,100.0,0.0
Djibouti,Construction,0.0,0.0,0.0,0.0
Djibouti,Operating,0.20852694300518135,0.108,65.87968184489365,34.12031815510635
Dominican Republic,Announced,2.4048671249999996,0.145,94.31342917525555,5.686570824744447
Dominican Republic,Pre-construction,2.314308,0.0,100.0,0.0
Dominican Republic,Construction,0.48760000000000003,1.31,27.12505562972853,72.87494437027148
Dominican Republic,Operating,2.2170874583333333,4.6502,32.28476267791785,67.71523732208215
Ecuador,Announced,4.446722222222222,0.907,83.0585158819928,16.941484118007203
Ecuador,Pre-construction,7.032473722222222,0.0,100.0,0.0
Ecuador,Construction,0.0,0.2012,0.0,100.0
Ecuador,Operating,5.517234740740741,1.55364,78.02761246712113,21.972387532878873
Egypt,Announced,28.368094736842103,0.125,99.56129721550263,0.4387027844973704
Egypt,Pre-construction,49.47479789473684,0.0,100.0,0.0
Egypt,Construction,23.90301884210526,2.55,90.36026846228542,9.639731537714574
Egypt,Operating,9.259653684210527,54.2185,14.587150297841383,85.41284970215862
El Salvador,Announced,0.1,0.0,100.0,0.0
El Salvador,Pre-construction,0.0,0.0,0.0,0.0
El Salvador,Construction,0.08952418518518519,0.0,100.0,0.0
El Salvador,Operating,1.8838059259259259,0.9295,66.96057860489952,33.039421395100476
Equatorial Guinea,Announced,0.0,0.0,0.0,0.0
Equatorial Guinea,Pre-construction,0.0,0.0,0.0,0.0
Equatorial Guinea,Construction,0.2,0.0,100.0,0.0
Equatorial Guinea,Operating,0.12451334196891192,0.154,44.70641912113865,55.29358087886135
Eritrea,Announced,0.010832020725388601,0.0,100.0,0.0
Eritrea,Pre-construction,0.0261,0.0,100.0,0.0
Eritrea,Construction,0.0,0.0,0.0,0.0
Eritrea,Operating,0.0228,0.088,20.577617328519857,79.42238267148014
Estonia,Announced,4.96,0.2,96.12403100775194,3.875968992248062
Estonia,Pre-construction,8.7451,0.1,98.86943053215906,1.1305694678409515
Estonia,Construction,0.3006441975308642,0.0,100.0,0.0
Estonia,Operating,1.794161827160494,0.4581,79.66044646871528,20.339553531284718
Eswatini,Announced,0.0195,0.0,100.0,0.0
Eswatini,Pre-construction,0.24575349740932642,0.3,45.030127809699806,54.96987219030019
Eswatini,Construction,0.0,0.0,0.0,0.0
Eswatini,Operating,0.10872668393782384,0.0,100.0,0.0
Ethiopia,Announced,2.365002590673575,0.0,100.0,0.0
Ethiopia,Pre-construction,6.2253341968911915,0.0,100.0,0.0
Ethiopia,Construction,2.23,0.0,100.0,0.0
Ethiopia,Operating,10.1345,0.0,100.0,0.0
Faroe Islands,Announced,0.0,0.0,0.0,0.0
Faroe Islands,Pre-construction,0.0,0.0,0.0,0.0
Faroe Islands,Construction,0.0,0.0,0.0,0.0
Faroe Islands,Operating,0.037,0.0,100.0,0.0
Fiji,Announced,0.03865984674329502,0.0,100.0,0.0
Fiji,Pre-construction,0.007021839080459769,0.0,100.0,0.0
Fiji,Construction,0.0,0.0,0.0,0.0
Fiji,Operating,0.17830000000000001,0.0,100.0,0.0
Finland,Announced,6.669204783950618,0.0,100.0,0.0
Finland,Pre-construction,38.488094833333335,0.0,100.0,0.0
Finland,Construction,1.061881697530864,0.0,100.0,0.0
Finland,Operating,19.7964387654321,3.4751999999999996,85.06680154746088,14.933198452539118
France,Announced,17.99946831460674,0.0,100.0,0.0
France,Pre-construction,16.69162168539326,0.0,100.0,0.0
France,Construction,1.9119724831460674,0.0,100.0,0.0
France,Operating,125.69535465168539,13.521700000000001,90.28732504517447,9.712674954825518
French Guiana,Announced,0.0,0.0,0.0,0.0
French Guiana,Pre-construction,0.0,0.0,0.0,0.0
French Guiana,Construction,0.2202682962962963,0.0,100.0,0.0
French Guiana,Operating,0.1798953703703704,0.0,100.0,0.0
French Polynesia,Announced,0.0,0.0,0.0,0.0
French Polynesia,Pre-construction,0.0,0.0,0.0,0.0
French Polynesia,Construction,0.008426206896551724,0.0,100.0,0.0
French Polynesia,Operating,0.016885961685823757,0.0,100.0,0.0
Gabon,Announced,0.0,0.0,0.0,0.0
Gabon,Pre-construction,0.85303,0.0,100.0,0.0
Gabon,Construction,0.035,0.125,21.875000000000004,78.125
Gabon,Operating,0.33357,0.496,40.209988307195296,59.79001169280471
Georgia,Announced,0.9891592857142857,0.0,100.0,0.0
Georgia,Pre-construction,0.91,0.4,69.46564885496184,30.53435114503817
Georgia,Construction,0.787,0.0,100.0,0.0
Georgia,Operating,3.0086,1.1682000000000001,72.03122007278299,27.968779927217014
Germany,Announced,7.923234542199489,8.315,48.793694422930024,51.20630557706997
Germany,Pre-construction,16.661384491048594,7.462404,69.06620200732978,30.933797992670225
Germany,Construction,2.4684700000000004,1.6752,59.5720701696805,40.4279298303195
Germany,Operating,93.89178060102302,63.2599,59.745960235319174,40.25403976468082
Ghana,Announced,2.885923834196891,0.3,90.58357903036234,9.416420969637654
Ghana,Pre-construction,3.7036937823834197,0.3,92.50691945223123,7.493080547768777
Ghana,Construction,0.27080051813471506,0.0,100.0,0.0
Ghana,Operating,1.9310500103626944,3.979,32.6740045680965,67.3259954319035
