Country,Type,Age Category,Capacity (GW),Capacity %
OECD,Utility-scale solar,30-39 years,0.0,0.0
OECD,Utility-scale solar,40-49 years,0.005,0.00015838520566857268
OECD,Utility-scale solar,50+ years,0.0,0.0
OECD,Wind,0-9 years,229.5732,7.272199699598474
OECD,Wind,10-19 years,169.5229,5.369983876406575
OECD,Wind,20-29 years,35.9274,1.1380737276274155
OECD,Wind,30-39 years,0.8056,0.025519024337320426
OECD,Wind,40-49 years,0.1846,0.005847581793283703
OECD,Wind,50+ years,0.023,0.0007285719460754343
OECD,Hydropower,0-9 years,15.551,0.4926096666703947
OECD,Hydropower,10-19 years,31.725,1.0049541299670937
OECD,Hydropower,20-29 years,18.124,0.5741146935074422
OECD,Hydropower,30-39 years,46.801,1.4825172020989739
OECD,Hydropower,40-49 years,73.728,2.335484888706505
OECD,Hydropower,50+ years,269.969,8.55181911782778
OECD,Nuclear,0-9 years,13.688,0.4335953390382845
OECD,Nuclear,10-19 years,6.897,0.21847655269922914
OECD,Nuclear,20-29 years,18.703,0.592455700323863
OECD,Nuclear,30-39 years,69.887,2.2138133737119077
OECD,Nuclear,40-49 years,123.25,3.9041953197303165
OECD,Nuclear,50+ years,36.5,1.1562120013805803
OECD,Bioenergy,0-9 years,11.170399999999999,0.3538452202800448
OECD,Bioenergy,10-19 years,10.5244,0.3333818517076652
OECD,Bioenergy,20-29 years,5.8523000000000005,0.18538354782683758
OECD,Bioenergy,30-39 years,6.699,0.21220449855475365
OECD,Bioenergy,40-49 years,4.9885,0.15802091969553494
OECD,Bioenergy,50+ years,5.6899,0.1802391963467223
OECD,Geothermal,0-9 years,2.1436599999999997,0.06790480599669849
OECD,Geothermal,10-19 years,2.4255,0.0768326632698246
OECD,Geothermal,20-29 years,1.3168,0.041712327764875295
OECD,Geothermal,30-39 years,1.8224,0.05772823976208137
OECD,Geothermal,40-49 years,1.923,0.06091495010013305
OECD,Geothermal,50+ years,0.5712,0.01809392589557774
African Union,Coal,0-9 years,11.545,4.382108090393657
African Union,Coal,10-19 years,2.9493,1.1194587605888273
African Union,Coal,20-29 years,4.279,1.6241698154001263
African Union,Coal,30-39 years,14.016,5.320019661754656
African Union,Coal,40-49 years,13.0313,4.946259433377813
African Union,Coal,50+ years,7.062,2.6805064819714164
African Union,Oil and gas,0-9 years,47.412600000000005,17.996287401177856
African Union,Oil and gas,10-19 years,51.5414,19.56344616112738
African Union,Oil and gas,20-29 years,14.0108,5.318045910167816
African Union,Oil and gas,30-39 years,9.533,3.618418053332415
African Union,Oil and gas,40-49 years,7.199,2.732507244932346
African Union,Oil and gas,50+ years,0.997,0.37842891001493945
African Union,Utility-scale solar,0-9 years,12.473764825212607,4.734637138001904
African Union,Utility-scale solar,10-19 years,2.071650375959509,0.7863313878700064
African Union,Utility-scale solar,20-29 years,0.0,0.0
African Union,Utility-scale solar,30-39 years,0.0,0.0
African Union,Utility-scale solar,40-49 years,0.0,0.0
African Union,Utility-scale solar,50+ years,0.0,0.0
African Union,Wind,0-9 years,8.152,3.0942351799817316
African Union,Wind,10-19 years,3.0375,1.152936624042506
African Union,Wind,20-29 years,0.245,0.09299406514910748
African Union,Wind,30-39 years,0.0,0.0
African Union,Wind,40-49 years,0.0,0.0
African Union,Wind,50+ years,0.0,0.0
African Union,Hydropower,0-9 years,15.606,5.923532166191721
African Union,Hydropower,10-19 years,7.755,2.943546837678892
African Union,Hydropower,20-29 years,2.365,0.8976774043985274
African Union,Hydropower,30-39 years,2.211,0.8392239920190885
African Union,Hydropower,40-49 years,6.66,2.52792030160431
African Union,Hydropower,50+ years,12.609,4.785968030469781
African Union,Nuclear,0-9 years,0.0,0.0
African Union,Nuclear,10-19 years,0.0,0.0
African Union,Nuclear,20-29 years,0.0,0.0
African Union,Nuclear,30-39 years,0.0,0.0
African Union,Nuclear,40-49 years,1.94,0.7363611689357898
African Union,Nuclear,50+ years,0.0,0.0
African Union,Bioenergy,0-9 years,0.347,0.13170996166016447
African Union,Bioenergy,10-19 years,0.37839999999999996,0.14362838470376435
African Union,Bioenergy,20-29 years,0.041,0.015562272126993498
African Union,Bioenergy,30-39 years,0.0295,0.011197244579178247
African Union,Bioenergy,40-49 years,0.0345,0.013095082643445747
African Union,Bioenergy,50+ years,0.045700000000000005,0.01734623990740495
African Union,Geothermal,0-9 years,0.317,0.12032293327455948
African Union,Geothermal,10-19 years,0.4055,0.15391466701209422
African Union,Geothermal,20-29 years,0.129,0.04896422205810149
African Union,Geothermal,30-39 years,0.0,0.0
African Union,Geothermal,40-49 years,0.0,0.0
African Union,Geothermal,50+ years,0.0,0.0
Afghanistan,Oil and gas,0-9 years,0.0,0.0
Afghanistan,Oil and gas,10-19 years,0.105,16.553365143429918
Afghanistan,Oil and gas,20-29 years,0.0,0.0
Afghanistan,Oil and gas,30-39 years,0.0,0.0
Afghanistan,Oil and gas,40-49 years,0.0,0.0
Afghanistan,Oil and gas,50+ years,0.0,0.0
Afghanistan,Utility-scale solar,0-9 years,0.06987211170784102,11.015415032784926
Afghanistan,Utility-scale solar,10-19 years,0.01044,1.645877448546746
Afghanistan,Utility-scale solar,20-29 years,0.0,0.0
Afghanistan,Utility-scale solar,30-39 years,0.0,0.0
Afghanistan,Utility-scale solar,40-49 years,0.0,0.0
Afghanistan,Utility-scale solar,50+ years,0.0,0.0
Afghanistan,Hydropower,0-9 years,0.1,15.765109660409445
Afghanistan,Hydropower,10-19 years,0.042,6.621346057371967
Afghanistan,Hydropower,20-29 years,0.0,0.0
Afghanistan,Hydropower,30-39 years,0.0,0.0
Afghanistan,Hydropower,40-49 years,0.0,0.0
Afghanistan,Hydropower,50+ years,0.212,33.422032480068026
Albania,Oil and gas,0-9 years,0.1102,5.007649671867726
Albania,Oil and gas,10-19 years,0.0,0.0
Albania,Oil and gas,20-29 years,0.0,0.0
Albania,Oil and gas,30-39 years,0.0,0.0
Albania,Oil and gas,40-49 years,0.0,0.0
Albania,Oil and gas,50+ years,0.0,0.0
Albania,Utility-scale solar,0-9 years,0.3204331756609924,14.560953602126151
Albania,Utility-scale solar,10-19 years,0.0,0.0
Albania,Utility-scale solar,20-29 years,0.0,0.0
Albania,Utility-scale solar,30-39 years,0.0,0.0
Albania,Utility-scale solar,40-49 years,0.0,0.0
Albania,Utility-scale solar,50+ years,0.0,0.0
Albania,Hydropower,0-9 years,0.269,12.223754643669857
Albania,Hydropower,10-19 years,0.151,6.861661528602782
Albania,Hydropower,20-29 years,0.0,0.0
Albania,Hydropower,30-39 years,0.0,0.0
Albania,Hydropower,40-49 years,1.1,49.98561378452357
Albania,Hydropower,50+ years,0.25,11.360366769209904
Algeria,Oil and gas,0-9 years,9.6896,35.77663070194552
Algeria,Oil and gas,10-19 years,10.116,37.351015127650356
Algeria,Oil and gas,20-29 years,2.877,10.622664148106965
Algeria,Oil and gas,30-39 years,1.992,7.3550041651126445
Algeria,Oil and gas,40-49 years,1.204,4.445494485339168
Algeria,Oil and gas,50+ years,0.395,1.458447111053963
Algeria,Utility-scale solar,0-9 years,0.268681875,0.9920463402185115
Algeria,Utility-scale solar,10-19 years,0.151319375,0.5587121653550412
Algeria,Utility-scale solar,20-29 years,0.0,0.0
Algeria,Utility-scale solar,30-39 years,0.0,0.0
Algeria,Utility-scale solar,40-49 years,0.0,0.0
Algeria,Utility-scale solar,50+ years,0.0,0.0
Algeria,Wind,0-9 years,0.0,0.0
Algeria,Wind,10-19 years,0.01,0.03692271167225223
Algeria,Wind,20-29 years,0.0,0.0
Algeria,Wind,30-39 years,0.0,0.0
Algeria,Wind,40-49 years,0.0,0.0
Algeria,Wind,50+ years,0.0,0.0
Algeria,Hydropower,0-9 years,0.0,0.0
Algeria,Hydropower,10-19 years,0.0,0.0
Algeria,Hydropower,20-29 years,0.0,0.0
Algeria,Hydropower,30-39 years,0.0,0.0
Algeria,Hydropower,40-49 years,0.0,0.0
Algeria,Hydropower,50+ years,0.196,0.7236851487761436
Andorra,Utility-scale solar,0-9 years,0.0033,4.97737556561086
Andorra,Utility-scale solar,10-19 years,0.0,0.0
Andorra,Utility-scale solar,20-29 years,0.0,0.0
Andorra,Utility-scale solar,30-39 years,0.0,0.0
Andorra,Utility-scale solar,40-49 years,0.0,0.0
Andorra,Utility-scale solar,50+ years,0.0,0.0
Andorra,Hydropower,0-9 years,0.0,0.0
Andorra,Hydropower,10-19 years,0.0,0.0
Andorra,Hydropower,20-29 years,0.0,0.0
Andorra,Hydropower,30-39 years,0.0,0.0
Andorra,Hydropower,40-49 years,0.0,0.0
Andorra,Hydropower,50+ years,0.045,67.87330316742081
Angola,Oil and gas,0-9 years,0.804,15.396774102615746
Angola,Oil and gas,10-19 years,0.0,0.0
Angola,Oil and gas,20-29 years,0.0,0.0
Angola,Oil and gas,30-39 years,0.0,0.0
Angola,Oil and gas,40-49 years,0.0,0.0
Angola,Oil and gas,50+ years,0.0,0.0
Angola,Utility-scale solar,0-9 years,0.48887306666666663,9.362025089949844
Angola,Utility-scale solar,10-19 years,0.0,0.0
Angola,Utility-scale solar,20-29 years,0.0,0.0
Angola,Utility-scale solar,30-39 years,0.0,0.0
Angola,Utility-scale solar,40-49 years,0.0,0.0
Angola,Utility-scale solar,50+ years,0.0,0.0
Angola,Wind,0-9 years,0.0,0.0
