Country,Type,Age Category,Capacity (MW),Capacity %
Argentina,Coal,0-9 years,0.0,0.0
Argentina,Coal,10-19 years,0.0,0.0
Argentina,Coal,20-29 years,0.0,0.0
Argentina,Coal,30-39 years,0.0,0.0
Argentina,Coal,40-49 years,0.375,0.8284390992326446
Argentina,Coal,50+ years,0.15,0.3313756396930578
Argentina,Oil and gas,0-9 years,7.5972,16.78351339917399
Argentina,Oil and gas,10-19 years,4.438,9.804300593051938
Argentina,Oil and gas,20-29 years,7.233,15.978933345999247
Argentina,Oil and gas,30-39 years,1.147,2.5339190581862487
Argentina,Oil and gas,40-49 years,0.436,0.9631985260411547
Argentina,Oil and gas,50+ years,2.151,4.751926673198449
Argentina,Utility-scale solar,0-9 years,2.6878450000000003,5.937909041805247
Argentina,Utility-scale solar,10-19 years,0.029505000000000003,0.06518158832762447
Argentina,Utility-scale solar,20-29 years,0.0,0.0
Argentina,Utility-scale solar,30-39 years,0.0,0.0
Argentina,Utility-scale solar,40-49 years,0.0,0.0
Argentina,Utility-scale solar,50+ years,0.0,0.0
Argentina,Wind,0-9 years,4.466,9.866157379127975
Argentina,Wind,10-19 years,0.18930000000000002,0.418196057292639
Argentina,Wind,20-29 years,0.018,0.039765076763166936
Argentina,Wind,30-39 years,0.0,0.0
Argentina,Wind,40-49 years,0.0,0.0
Argentina,Wind,50+ years,0.0,0.0
Argentina,Hydropower,0-9 years,0.065,0.14359611053365837
Argentina,Hydropower,10-19 years,0.125,0.27614636641088147
Argentina,Hydropower,20-29 years,0.576,1.272482456421342
Argentina,Hydropower,30-39 years,5.394,11.916268003362358
Argentina,Hydropower,40-49 years,3.799,8.39264036795951
Argentina,Hydropower,50+ years,2.396,5.293173551363776
Argentina,Nuclear,0-9 years,0.745,1.6458323438088538
Argentina,Nuclear,10-19 years,0.0,0.0
Argentina,Nuclear,20-29 years,0.0,0.0
Argentina,Nuclear,30-39 years,0.0,0.0
Argentina,Nuclear,40-49 years,0.656,1.4492161309243061
Argentina,Nuclear,50+ years,0.362,0.7997198771259129
Argentina,Bioenergy,0-9 years,0.108,0.2385904605790016
Argentina,Bioenergy,10-19 years,0.122,0.2695188536170204
Argentina,Bioenergy,20-29 years,0.0,0.0
Argentina,Bioenergy,30-39 years,0.0,0.0
Argentina,Bioenergy,40-49 years,0.0,0.0
Argentina,Bioenergy,50+ years,0.0,0.0
Armenia,Oil and gas,0-9 years,0.254,10.019723865877712
Armenia,Oil and gas,10-19 years,0.673,26.548323471400394
Armenia,Oil and gas,20-29 years,0.0,0.0
Armenia,Oil and gas,30-39 years,0.0,0.0
Armenia,Oil and gas,40-49 years,0.0,0.0
Armenia,Oil and gas,50+ years,0.2,7.889546351084813
Armenia,Hydropower,0-9 years,0.0,0.0
Armenia,Hydropower,10-19 years,0.0,0.0
Armenia,Hydropower,20-29 years,0.0,0.0
Armenia,Hydropower,30-39 years,0.076,2.9980276134122286
Armenia,Hydropower,40-49 years,0.171,6.7455621301775155
Armenia,Hydropower,50+ years,0.713,28.126232741617358
Armenia,Nuclear,0-9 years,0.0,0.0
Armenia,Nuclear,10-19 years,0.0,0.0
Armenia,Nuclear,20-29 years,0.0,0.0
Armenia,Nuclear,30-39 years,0.0,0.0
Armenia,Nuclear,40-49 years,0.448,17.67258382642998
Armenia,Nuclear,50+ years,0.0,0.0
Aruba,Oil and gas,0-9 years,0.102,43.81443298969072
Aruba,Oil and gas,10-19 years,0.092,39.51890034364261
Aruba,Oil and gas,20-29 years,0.0,0.0
Aruba,Oil and gas,30-39 years,0.0,0.0
Aruba,Oil and gas,40-49 years,0.0,0.0
Aruba,Oil and gas,50+ years,0.0,0.0
Aruba,Utility-scale solar,0-9 years,0.0088,3.780068728522337
Aruba,Utility-scale solar,10-19 years,0.0,0.0
Aruba,Utility-scale solar,20-29 years,0.0,0.0
Aruba,Utility-scale solar,30-39 years,0.0,0.0
Aruba,Utility-scale solar,40-49 years,0.0,0.0
Aruba,Utility-scale solar,50+ years,0.0,0.0
Aruba,Wind,0-9 years,0.0,0.0
Aruba,Wind,10-19 years,0.03,12.886597938144329
Aruba,Wind,20-29 years,0.0,0.0
Aruba,Wind,30-39 years,0.0,0.0
Aruba,Wind,40-49 years,0.0,0.0
Aruba,Wind,50+ years,0.0,0.0
Australia,Coal,0-9 years,0.0,0.0
Australia,Coal,10-19 years,1.33,1.7429177911544167
Australia,Coal,20-29 years,4.133,5.416149797624966
Australia,Coal,30-39 years,6.178,8.09604970958796
Australia,Coal,40-49 years,10.268,13.45584953351395
Australia,Coal,50+ years,0.72,0.9435344433317144
Australia,Oil and gas,0-9 years,2.0004,2.6214531950566133
Australia,Oil and gas,10-19 years,9.537799999999999,12.498948352235034
Australia,Oil and gas,20-29 years,5.0681,6.641565155902031
Australia,Oil and gas,30-39 years,0.34,0.44555793157330953
Australia,Oil and gas,40-49 years,1.75,2.293312883097917
Australia,Oil and gas,50+ years,0.221,0.2896126555226512
Australia,Utility-scale solar,0-9 years,11.8764615,15.563681236323662
Australia,Utility-scale solar,10-19 years,0.0862585,0.11303870247240096
