Country,Type,Age Category,Capacity (GW),Capacity %
Angola,Oil and gas,40-49 years,0.0,0.0
Angola,Oil and gas,50+ years,0.0,0.0
Angola,Utility-scale solar,0-9 years,0.48887306666666663,9.362025089949844
Angola,Utility-scale solar,10-19 years,0.0,0.0
Angola,Utility-scale solar,20-29 years,0.0,0.0
Angola,Utility-scale solar,30-39 years,0.0,0.0
Angola,Utility-scale solar,40-49 years,0.0,0.0
Angola,Utility-scale solar,50+ years,0.0,0.0
Angola,Wind,0-9 years,0.0,0.0
Angola,Wind,10-19 years,0.05,0.9575108272770985
Angola,Wind,20-29 years,0.0,0.0
Angola,Wind,30-39 years,0.0,0.0
Angola,Wind,40-49 years,0.0,0.0
Angola,Wind,50+ years,0.0,0.0
Angola,Hydropower,0-9 years,2.77,53.04609983115126
Angola,Hydropower,10-19 years,0.11,2.106523820009617
Angola,Hydropower,20-29 years,0.52,9.958112603681824
Angola,Hydropower,30-39 years,0.0,0.0
Angola,Hydropower,40-49 years,0.0,0.0
Angola,Hydropower,50+ years,0.254,4.86415500256766
Angola,Bioenergy,0-9 years,0.0,0.0
Angola,Bioenergy,10-19 years,0.1,1.915021654554197
Angola,Bioenergy,20-29 years,0.0,0.0
Angola,Bioenergy,30-39 years,0.0,0.0
Angola,Bioenergy,40-49 years,0.0,0.0
Angola,Bioenergy,50+ years,0.0,0.0
Anguilla,Utility-scale solar,0-9 years,0.0012,100.0
Anguilla,Utility-scale solar,10-19 years,0.0,0.0
Anguilla,Utility-scale solar,20-29 years,0.0,0.0
Anguilla,Utility-scale solar,30-39 years,0.0,0.0
Anguilla,Utility-scale solar,40-49 years,0.0,0.0
Anguilla,Utility-scale solar,50+ years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,0-9 years,0.010299999999999998,100.0
Antigua and Barbuda,Utility-scale solar,10-19 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,20-29 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,30-39 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,40-49 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,50+ years,0.0,0.0
Argentina,Coal,0-9 years,0.0,0.0
Argentina,Coal,10-19 years,0.0,0.0
Argentina,Coal,20-29 years,0.0,0.0
Argentina,Coal,30-39 years,0.0,0.0
Argentina,Coal,40-49 years,0.375,0.8694989697881331
Argentina,Coal,50+ years,0.15,0.3477995879152533
Argentina,Oil and gas,0-9 years,7.3372,17.01250090967864
Argentina,Oil and gas,10-19 years,4.827,11.192190739112851
Argentina,Oil and gas,20-29 years,7.233,16.770896129273513
Argentina,Oil and gas,30-39 years,1.077,2.4972010412315186
Argentina,Oil and gas,40-49 years,0.436,1.0109374688736694
Argentina,Oil and gas,50+ years,2.106,4.883106214330156
Argentina,Utility-scale solar,0-9 years,2.6962441304347826,6.251683983227585
Argentina,Utility-scale solar,10-19 years,0.029765,0.06901503156198342
Argentina,Utility-scale solar,20-29 years,0.0,0.0
Argentina,Utility-scale solar,30-39 years,0.0,0.0
Argentina,Utility-scale solar,40-49 years,0.0,0.0
Argentina,Utility-scale solar,50+ years,0.0,0.0
Argentina,Wind,0-9 years,4.466,10.355153064196807
Argentina,Wind,10-19 years,0.183,0.424315497256609
Argentina,Wind,20-29 years,0.018,0.04173595054983039
Argentina,Wind,30-39 years,0.0,0.0
Argentina,Wind,40-49 years,0.0,0.0
Argentina,Wind,50+ years,0.0,0.0
Argentina,Hydropower,0-9 years,0.0,0.0
Argentina,Hydropower,10-19 years,0.19,0.44054614469265413
Argentina,Hydropower,20-29 years,0.516,1.1964305824284713
Argentina,Hydropower,30-39 years,3.154,7.3130660018980596
Argentina,Hydropower,40-49 years,3.604,8.35646476564382
Argentina,Hydropower,50+ years,2.396,5.555518750966312
Argentina,Nuclear,0-9 years,0.0,0.0
Argentina,Nuclear,10-19 years,0.745,1.7274046199790913
Argentina,Nuclear,20-29 years,0.0,0.0
Argentina,Nuclear,30-39 years,0.0,0.0
Argentina,Nuclear,40-49 years,0.656,1.5210435311493744
Argentina,Nuclear,50+ years,0.362,0.8393563388354779
Argentina,Bioenergy,0-9 years,0.108,0.25041570329898233
