Country,Type,Age Category,Capacity (MW),Capacity %
Argentina,Wind,10-19 years,0.18930000000000002,0.43486697722402007
Argentina,Wind,20-29 years,0.018,0.04135026724792584
Argentina,Wind,30-39 years,0.0,0.0
Argentina,Wind,40-49 years,0.0,0.0
Argentina,Wind,50+ years,0.0,0.0
Argentina,Hydropower,0-9 years,0.0,0.0
Argentina,Hydropower,10-19 years,0.125,0.2871546336661517
Argentina,Hydropower,20-29 years,0.516,1.1853743277738742
Argentina,Hydropower,30-39 years,5.394,12.391296751961779
Argentina,Hydropower,40-49 years,3.799,8.727203626381682
Argentina,Hydropower,50+ years,2.316,5.320401052566458
Argentina,Nuclear,0-9 years,0.745,1.7114416166502642
Argentina,Nuclear,10-19 years,0.0,0.0
Argentina,Nuclear,20-29 years,0.0,0.0
Argentina,Nuclear,30-39 years,0.0,0.0
Argentina,Nuclear,40-49 years,0.656,1.506987517479964
Argentina,Nuclear,50+ years,0.362,0.8315998190971752
Argentina,Bioenergy,0-9 years,0.108,0.24810160348755503
Argentina,Bioenergy,10-19 years,0.122,0.28026292245816403
Argentina,Bioenergy,20-29 years,0.0,0.0
Argentina,Bioenergy,30-39 years,0.0,0.0
Argentina,Bioenergy,40-49 years,0.0,0.0
Argentina,Bioenergy,50+ years,0.0,0.0
Armenia,Oil and gas,0-9 years,0.254,9.723604624454483
Armenia,Oil and gas,10-19 years,0.673,25.763724064007356
Armenia,Oil and gas,20-29 years,0.0,0.0
Armenia,Oil and gas,30-39 years,0.0,0.0
Armenia,Oil and gas,40-49 years,0.0,0.0
Armenia,Oil and gas,50+ years,0.2,7.656381594058649
Armenia,Utility-scale solar,0-9 years,0.15519999999999998,5.941352116989511
Armenia,Utility-scale solar,10-19 years,0.0,0.0
Armenia,Utility-scale solar,20-29 years,0.0,0.0
Armenia,Utility-scale solar,30-39 years,0.0,0.0
Armenia,Utility-scale solar,40-49 years,0.0,0.0
Armenia,Utility-scale solar,50+ years,0.0,0.0
Armenia,Hydropower,0-9 years,0.0,0.0
Armenia,Hydropower,10-19 years,0.0,0.0
Armenia,Hydropower,20-29 years,0.0,0.0
Armenia,Hydropower,30-39 years,0.076,2.9094250057422864
Armenia,Hydropower,40-49 years,0.171,6.546206262920144
Armenia,Hydropower,50+ years,0.635,24.30901156113621
Armenia,Nuclear,0-9 years,0.0,0.0
Armenia,Nuclear,10-19 years,0.0,0.0
Armenia,Nuclear,20-29 years,0.0,0.0
Armenia,Nuclear,30-39 years,0.0,0.0
Armenia,Nuclear,40-49 years,0.448,17.15029477069137
Armenia,Nuclear,50+ years,0.0,0.0
Aruba,Oil and gas,0-9 years,0.102,73.17073170731707
Aruba,Oil and gas,10-19 years,0.0,0.0
Aruba,Oil and gas,20-29 years,0.0,0.0
Aruba,Oil and gas,30-39 years,0.0,0.0
Aruba,Oil and gas,40-49 years,0.0,0.0
Aruba,Oil and gas,50+ years,0.0,0.0
Aruba,Utility-scale solar,0-9 years,0.0074,5.308464849354376
Aruba,Utility-scale solar,10-19 years,0.0,0.0
Aruba,Utility-scale solar,20-29 years,0.0,0.0
Aruba,Utility-scale solar,30-39 years,0.0,0.0
Aruba,Utility-scale solar,40-49 years,0.0,0.0
Aruba,Utility-scale solar,50+ years,0.0,0.0
Aruba,Wind,0-9 years,0.0,0.0
Aruba,Wind,10-19 years,0.03,21.52080344332855
Aruba,Wind,20-29 years,0.0,0.0
Aruba,Wind,30-39 years,0.0,0.0
Aruba,Wind,40-49 years,0.0,0.0
Aruba,Wind,50+ years,0.0,0.0
Australia,Coal,0-9 years,0.0,0.0
Australia,Coal,10-19 years,1.33,1.8446824787578224
Australia,Coal,20-29 years,4.133,5.732385477222617
Australia,Coal,30-39 years,6.178,8.568758160726185
Australia,Coal,40-49 years,10.268,14.241503527733324
Australia,Coal,50+ years,0.72,0.9986251012824302
Australia,Oil and gas,0-9 years,1.2262,1.700714026656272
Australia,Oil and gas,10-19 years,8.960600000000001,12.428166781321313
Australia,Oil and gas,20-29 years,4.0511,5.61879187195174
Australia,Oil and gas,30-39 years,0.195,0.2704609649306582
Australia,Oil and gas,40-49 years,1.75,2.42721378783924
Australia,Oil and gas,50+ years,0.156,0.21636877194452656
Australia,Utility-scale solar,0-9 years,10.598019,14.699233051761276
Australia,Utility-scale solar,10-19 years,0.06611,0.0916932020080298
Australia,Utility-scale solar,20-29 years,0.0,0.0
Australia,Utility-scale solar,30-39 years,0.0,0.0
Australia,Utility-scale solar,40-49 years,0.0,0.0
Australia,Utility-scale solar,50+ years,0.0,0.0
Australia,Wind,0-9 years,10.051200000000001,13.940806413902726
Australia,Wind,10-19 years,3.654,5.068022389008333
Australia,Wind,20-29 years,0.49889999999999995,0.6919639764302838
Australia,Wind,30-39 years,0.0,0.0
Australia,Wind,40-49 years,0.0,0.0
Australia,Wind,50+ years,0.0,0.0
Australia,Hydropower,0-9 years,0.0,0.0
Australia,Hydropower,10-19 years,0.14,0.1941771030271392
Australia,Hydropower,20-29 years,0.0,0.0
Australia,Hydropower,30-39 years,0.481,0.6671370468289568
Australia,Hydropower,40-49 years,1.583,2.1955882435140097
Australia,Hydropower,50+ years,5.743,7.965422162034717
Australia,Bioenergy,0-9 years,0.0,0.0
Australia,Bioenergy,10-19 years,0.176,0.24410835809126072
Australia,Bioenergy,20-29 years,0.128,0.1775333513390987
Australia,Bioenergy,30-39 years,0.012,0.016643751688040505
Australia,Bioenergy,40-49 years,0.0,0.0
Australia,Bioenergy,50+ years,0.0,0.0
Austria,Oil and gas,0-9 years,0.246,1.2594958821652518
Austria,Oil and gas,10-19 years,2.597,13.296385390175441
Austria,Oil and gas,20-29 years,1.379,7.060344802869439
Austria,Oil and gas,30-39 years,0.194,0.9932609802441416
Austria,Oil and gas,40-49 years,0.0,0.0
Austria,Oil and gas,50+ years,0.31,1.587169607606618
Austria,Utility-scale solar,0-9 years,0.06612399999999999,0.3385483972044516
Austria,Utility-scale solar,10-19 years,0.0,0.0
Austria,Utility-scale solar,20-29 years,0.0,0.0
Austria,Utility-scale solar,30-39 years,0.0,0.0
Austria,Utility-scale solar,40-49 years,0.0,0.0
Austria,Utility-scale solar,50+ years,0.0,0.0
Austria,Wind,0-9 years,1.078,5.519254312903013
Austria,Wind,10-19 years,1.438,7.362419018510698
Austria,Wind,20-29 years,0.498,2.5497111760906312
Austria,Wind,30-39 years,0.0,0.0
Austria,Wind,40-49 years,0.0,0.0
Austria,Wind,50+ years,0.0,0.0
Austria,Hydropower,0-9 years,0.899,4.602791862059192
Austria,Hydropower,10-19 years,1.145,5.862287744224443
Austria,Hydropower,20-29 years,0.172,0.8806231371236718
